,jd,sec,status,bx_gsm,by_gsm,bz_gsm,bt_gsm,lat_gsm,lon_gsm
2024-07-16 18:12:00,60507.0,65520.0,0.0,-1.6,4.3,8.0,9.2,59.9,110.8
2024-07-16 18:13:00,60507.0,65580.0,0.0,-2.0,3.7,7.6,8.7,61.2,118.3
2024-07-16 18:14:00,60507.0,65640.0,0.0,-1.3,2.4,7.3,7.8,69.2,118.8
2024-07-16 18:15:00,60507.0,65700.0,0.0,-1.9,3.9,7.9,9.1,61.2,115.6
2024-07-16 18:16:00,60507.0,65760.0,0.0,-1.9,4.1,8.0,9.2,60.2,115.1
2024-07-16 18:17:00,60507.0,65820.0,0.0,-3.0,4.1,7.6,9.1,56.0,125.8
2024-07-16 18:18:00,60507.0,65880.0,0.0,-2.2,4.0,7.7,9.0,59.3,118.9
2024-07-16 18:19:00,60507.0,65940.0,0.0,-4.0,3.6,7.1,8.9,52.6,137.8
2024-07-16 18:20:00,60507.0,66000.0,0.0,-3.0,3.9,6.8,8.4,53.8,127.1
2024-07-16 18:21:00,60507.0,66060.0,0.0,-2.4,3.7,7.2,8.4,58.8,123.2
2024-07-16 18:22:00,60507.0,66120.0,0.0,-2.5,3.5,7.4,8.5,59.5,125.9
2024-07-16 18:23:00,60507.0,66180.0,0.0,-2.6,3.2,7.1,8.2,60.2,128.9
2024-07-16 18:24:00,60507.0,66240.0,0.0,-1.7,2.7,7.5,8.2,66.6,122.3
2024-07-16 18:25:00,60507.0,66300.0,0.0,-2.5,2.5,8.3,9.0,67.3,135.1
2024-07-16 18:26:00,60507.0,66360.0,0.0,-2.4,3.0,8.3,9.2,65.2,128.7
2024-07-16 18:27:00,60507.0,66420.0,0.0,-2.0,3.9,8.1,9.2,61.7,117.8
2024-07-16 18:28:00,60507.0,66480.0,0.0,-3.1,2.7,8.1,9.1,63.0,138.5
2024-07-16 18:29:00,60507.0,66540.0,0.0,-0.8,4.2,7.8,8.9,61.2,100.0
2024-07-16 18:30:00,60507.0,66600.0,0.0,-1.7,3.3,8.0,8.8,65.0,117.3
2024-07-16 18:31:00,60507.0,66660.0,0.0,-1.1,1.3,7.8,7.9,77.6,131.5
2024-07-16 18:32:00,60507.0,66720.0,0.0,-1.9,3.2,6.7,7.6,61.2,120.8
2024-07-16 18:33:00,60507.0,66780.0,0.0,-1.3,3.6,6.0,7.1,57.4,110.6
2024-07-16 18:34:00,60507.0,66840.0,0.0,-1.5,2.7,5.9,6.7,62.7,119.3
2024-07-16 18:35:00,60507.0,66900.0,0.0,-1.2,2.9,7.7,8.3,67.8,112.2
2024-07-16 18:36:00,60507.0,66960.0,0.0,-0.9,2.8,6.9,7.5,66.8,108.1
2024-07-16 18:37:00,60507.0,67020.0,0.0,-1.7,2.1,6.8,7.3,68.7,129.0
2024-07-16 18:38:00,60507.0,67080.0,0.0,-2.0,1.8,8.2,8.6,71.5,137.8
2024-07-16 18:39:00,60507.0,67140.0,0.0,-2.1,3.0,8.2,9.0,65.7,124.8
2024-07-16 18:40:00,60507.0,67200.0,0.0,-2.1,3.7,8.1,9.2,62.5,119.9
2024-07-16 18:41:00,60507.0,67260.0,0.0,-1.9,2.7,8.7,9.3,69.3,124.9
2024-07-16 18:42:00,60507.0,67320.0,0.0,-1.1,0.9,9.0,9.1,80.9,142.8
