,jd,sec,status_10,int_pflux_10MeV,status_30,int_pflux_30MeV
2024-07-16 18:10:00,60507.0,65400.0,0.0,2.64,0.0,1.59
2024-07-16 18:15:00,60507.0,65700.0,0.0,2.5,0.0,1.53
2024-07-16 18:20:00,60507.0,66000.0,0.0,2.54,0.0,1.53
2024-07-16 18:25:00,60507.0,66300.0,0.0,2.47,0.0,1.48
2024-07-16 18:30:00,60507.0,66600.0,0.0,2.47,0.0,1.52
2024-07-16 18:35:00,60507.0,66900.0,0.0,2.19,0.0,1.34
2024-07-16 18:40:00,60507.0,67200.0,0.0,2.3,0.0,1.4
2024-07-16 18:45:00,60507.0,67500.0,0.0,2.32,0.0,1.43
2024-07-16 18:50:00,60507.0,67800.0,0.0,2.2,0.0,1.35
2024-07-16 18:55:00,60507.0,68100.0,0.0,2.31,0.0,1.43
2024-07-16 19:00:00,60507.0,68400.0,0.0,2.25,0.0,1.38
2024-07-16 19:05:00,60507.0,68700.0,0.0,2.28,0.0,1.42
2024-07-16 19:10:00,60507.0,69000.0,0.0,2.33,0.0,1.44
2024-07-16 19:15:00,60507.0,69300.0,0.0,2.39,0.0,1.51
2024-07-16 19:20:00,60507.0,69600.0,0.0,2.39,0.0,1.51
2024-07-16 19:25:00,60507.0,69900.0,0.0,2.27,0.0,1.43
2024-07-16 19:30:00,60507.0,70200.0,0.0,2.31,0.0,1.46
2024-07-16 19:35:00,60507.0,70500.0,0.0,2.18,0.0,1.35
2024-07-16 19:40:00,60507.0,70800.0,0.0,2.27,0.0,1.41
2024-07-16 19:45:00,60507.0,71100.0,0.0,2.16,0.0,1.39
2024-07-16 19:50:00,60507.0,71400.0,0.0,2.31,0.0,1.47
2024-07-16 19:55:00,60507.0,71700.0,0.0,2.29,0.0,1.45
2024-07-16 20:00:00,60507.0,72000.0,0.0,2.2,0.0,1.38
2024-07-16 20:05:00,60507.0,72300.0,0.0,2.21,0.0,1.4
