,jd,sec,status_e,eflux_38-53,eflux_175-315,status_p,pflux_47-68,pflux_115-195,pflux_310-580,pflux_795-1193,pflux_1060-1900,anis_ind
2024-07-17 15:45:00,60508.0,56700.0,0.0,2130.0,25.2,0.0,2400.0,56.1,12.7,5.11,1.49,-1.0
2024-07-17 15:50:00,60508.0,57000.0,0.0,2550.0,26.1,0.0,2520.0,55.2,12.4,5.26,1.55,-1.0
2024-07-17 15:55:00,60508.0,57300.0,9.0,-100000.0,-100000.0,0.0,2390.0,34.1,15.9,-100000.0,-100000.0,-1.0
2024-07-17 16:00:00,60508.0,57600.0,0.0,2150.0,30.5,0.0,2390.0,50.7,11.4,4.85,1.62,-1.0
2024-07-17 16:05:00,60508.0,57900.0,0.0,2320.0,25.2,0.0,2450.0,50.6,11.7,5.33,1.98,-1.0
2024-07-17 16:10:00,60508.0,58200.0,0.0,2370.0,24.7,0.0,2560.0,52.9,12.1,5.28,1.56,-1.0
2024-07-17 16:15:00,60508.0,58500.0,0.0,2210.0,32.3,0.0,2410.0,49.5,12.8,5.47,1.59,-1.0
2024-07-17 16:20:00,60508.0,58800.0,0.0,2140.0,24.4,0.0,2310.0,52.2,11.7,5.57,1.7,-1.0
2024-07-17 16:25:00,60508.0,59100.0,0.0,2460.0,23.5,0.0,2530.0,56.4,13.8,4.63,1.63,-1.0
2024-07-17 16:30:00,60508.0,59400.0,0.0,2110.0,29.2,0.0,2490.0,55.0,11.9,5.34,1.71,-1.0
2024-07-17 16:35:00,60508.0,59700.0,0.0,2050.0,25.0,0.0,2430.0,50.2,12.2,5.62,1.85,-1.0
2024-07-17 16:40:00,60508.0,60000.0,0.0,2340.0,27.8,0.0,2570.0,63.6,13.4,5.02,1.69,-1.0
2024-07-17 16:45:00,60508.0,60300.0,0.0,2030.0,28.2,0.0,2540.0,59.4,12.8,5.05,1.49,-1.0
2024-07-17 16:50:00,60508.0,60600.0,0.0,2000.0,23.9,0.0,2500.0,56.3,13.1,5.43,1.49,-1.0
2024-07-17 16:55:00,60508.0,60900.0,0.0,2090.0,29.5,0.0,2340.0,60.0,12.5,5.03,1.73,-1.0
2024-07-17 17:00:00,60508.0,61200.0,0.0,2240.0,29.0,0.0,2550.0,62.4,13.7,5.19,1.72,-1.0
2024-07-17 17:05:00,60508.0,61500.0,0.0,1980.0,25.1,0.0,2560.0,58.7,13.2,5.17,1.7,-1.0
2024-07-17 17:10:00,60508.0,61800.0,0.0,2040.0,24.2,0.0,2390.0,57.8,12.9,5.31,1.51,-1.0
2024-07-17 17:15:00,60508.0,62100.0,0.0,2400.0,26.7,0.0,2590.0,59.8,12.3,4.9,1.38,-1.0
2024-07-17 17:20:00,60508.0,62400.0,0.0,2010.0,26.8,0.0,2560.0,66.9,13.7,5.07,1.46,-1.0
2024-07-17 17:25:00,60508.0,62700.0,0.0,2130.0,24.5,0.0,2540.0,68.0,13.3,4.88,1.52,-1.0
2024-07-17 17:30:00,60508.0,63000.0,0.0,2230.0,27.0,0.0,2410.0,76.2,13.3,4.55,1.76,-1.0
2024-07-17 17:35:00,60508.0,63300.0,0.0,2230.0,25.0,0.0,2640.0,72.4,12.5,4.87,1.37,-1.0
2024-07-17 17:40:00,60508.0,63600.0,0.0,2050.0,25.3,0.0,2550.0,68.3,12.9,5.24,1.48,-1.0
