,jd,sec,status,bx_gsm,by_gsm,bz_gsm,bt_gsm,lat_gsm,lon_gsm
2024-07-17 13:34:00,60508.0,48840.0,0.0,-1.9,4.4,-2.9,5.6,-31.0,113.0
2024-07-17 13:35:00,60508.0,48900.0,0.0,-1.8,4.4,-3.1,5.7,-33.0,112.2
2024-07-17 13:36:00,60508.0,48960.0,0.0,-2.2,4.4,-3.1,5.8,-32.2,116.5
2024-07-17 13:37:00,60508.0,49020.0,0.0,-2.0,4.4,-3.0,5.7,-31.6,113.9
2024-07-17 13:38:00,60508.0,49080.0,0.0,-1.1,2.9,-4.2,5.2,-53.5,111.4
2024-07-17 13:39:00,60508.0,49140.0,0.0,-0.6,3.3,-4.1,5.4,-50.6,99.6
2024-07-17 13:40:00,60508.0,49200.0,0.0,-0.9,4.3,-3.7,5.8,-40.1,101.3
2024-07-17 13:41:00,60508.0,49260.0,0.0,-0.8,4.0,-4.0,5.7,-44.2,101.4
2024-07-17 13:42:00,60508.0,49320.0,0.0,-0.8,3.6,-4.3,5.7,-48.8,102.5
2024-07-17 13:43:00,60508.0,49380.0,0.0,-0.9,4.0,-3.7,5.5,-42.5,102.3
2024-07-17 13:44:00,60508.0,49440.0,0.0,-1.0,4.0,-3.4,5.3,-39.2,103.4
2024-07-17 13:45:00,60508.0,49500.0,0.0,-1.0,3.7,-3.6,5.3,-42.8,104.9
2024-07-17 13:46:00,60508.0,49560.0,0.0,-1.0,3.7,-3.5,5.2,-42.6,105.6
2024-07-17 13:47:00,60508.0,49620.0,0.0,-0.3,3.5,-3.9,5.3,-47.7,95.3
2024-07-17 13:48:00,60508.0,49680.0,0.0,-0.8,3.9,-3.2,5.1,-39.0,101.8
2024-07-17 13:49:00,60508.0,49740.0,0.0,-1.2,3.7,-3.1,5.0,-38.3,107.3
2024-07-17 13:50:00,60508.0,49800.0,0.0,-1.2,3.6,-3.1,4.9,-38.6,108.0
2024-07-17 13:51:00,60508.0,49860.0,0.0,-1.1,3.6,-3.1,4.9,-39.6,106.4
2024-07-17 13:52:00,60508.0,49920.0,0.0,-1.7,3.4,-3.2,5.0,-40.1,116.0
2024-07-17 13:53:00,60508.0,49980.0,0.0,-2.0,3.4,-3.3,5.2,-40.2,121.3
2024-07-17 13:54:00,60508.0,50040.0,0.0,-2.0,3.5,-3.4,5.3,-40.2,120.2
2024-07-17 13:55:00,60508.0,50100.0,0.0,-2.3,3.3,-3.8,5.5,-43.4,124.5
2024-07-17 13:56:00,60508.0,50160.0,0.0,-1.9,2.5,-4.2,5.2,-52.9,128.1
2024-07-17 13:57:00,60508.0,50220.0,0.0,-2.7,2.5,-2.2,4.3,-30.6,136.6
2024-07-17 13:58:00,60508.0,50280.0,0.0,-2.3,0.1,3.9,4.6,59.6,176.6
2024-07-17 13:59:00,60508.0,50340.0,0.0,-2.8,1.5,3.3,4.6,45.6,152.1
2024-07-17 14:00:00,60508.0,50400.0,0.0,-3.9,2.4,1.0,4.7,12.5,148.1
2024-07-17 14:01:00,60508.0,50460.0,0.0,-4.2,2.6,0.3,4.9,3.7,148.0
2024-07-17 14:02:00,60508.0,50520.0,0.0,-4.2,2.5,0.6,4.9,7.1,149.1
2024-07-17 14:03:00,60508.0,50580.0,0.0,-3.6,2.5,1.1,4.5,14.7,145.2
