,jd,sec,status_10,int_pflux_10MeV,status_30,int_pflux_30MeV
2024-07-17 15:45:00,60508.0,56700.0,0.0,2.41,0.0,1.72
2024-07-17 15:50:00,60508.0,57000.0,0.0,2.25,0.0,1.55
2024-07-17 15:55:00,60508.0,57300.0,9.0,-100000.0,9.0,-100000.0
2024-07-17 16:00:00,60508.0,57600.0,0.0,1.98,0.0,1.38
2024-07-17 16:05:00,60508.0,57900.0,0.0,2.0,0.0,1.45
2024-07-17 16:10:00,60508.0,58200.0,0.0,1.94,0.0,1.37
2024-07-17 16:15:00,60508.0,58500.0,0.0,1.94,0.0,1.37
2024-07-17 16:20:00,60508.0,58800.0,0.0,2.14,0.0,1.48
2024-07-17 16:25:00,60508.0,59100.0,9.0,-100000.0,9.0,-100000.0
2024-07-17 16:30:00,60508.0,59400.0,0.0,2.2,0.0,1.54
2024-07-17 16:35:00,60508.0,59700.0,0.0,2.09,0.0,1.52
2024-07-17 16:40:00,60508.0,60000.0,0.0,1.79,0.0,1.29
2024-07-17 16:45:00,60508.0,60300.0,9.0,-100000.0,9.0,-100000.0
2024-07-17 16:50:00,60508.0,60600.0,0.0,2.06,0.0,1.49
2024-07-17 16:55:00,60508.0,60900.0,0.0,2.17,0.0,1.56
2024-07-17 17:00:00,60508.0,61200.0,0.0,2.14,0.0,1.46
2024-07-17 17:05:00,60508.0,61500.0,0.0,1.93,0.0,1.38
2024-07-17 17:10:00,60508.0,61800.0,0.0,1.79,0.0,1.2
2024-07-17 17:15:00,60508.0,62100.0,0.0,2.0,0.0,1.38
2024-07-17 17:20:00,60508.0,62400.0,9.0,-100000.0,9.0,-100000.0
2024-07-17 17:25:00,60508.0,62700.0,0.0,2.04,0.0,1.38
2024-07-17 17:30:00,60508.0,63000.0,9.0,-100000.0,9.0,-100000.0
2024-07-17 17:35:00,60508.0,63300.0,0.0,2.08,0.0,1.5
2024-07-17 17:40:00,60508.0,63600.0,9.0,-100000.0,9.0,-100000.0
