,jd,sec,status,sw_proton_dens,sw_bulk_speed,sw_ion_temp
2024-07-17 13:34:00,60508.0,48840.0,0.0,2.1,377.7,44000.0
2024-07-17 13:35:00,60508.0,48900.0,0.0,1.5,365.6,40700.0
2024-07-17 13:36:00,60508.0,48960.0,0.0,1.4,358.6,50600.0
2024-07-17 13:37:00,60508.0,49020.0,0.0,1.7,373.8,46300.0
2024-07-17 13:38:00,60508.0,49080.0,0.0,1.6,369.3,39600.0
2024-07-17 13:39:00,60508.0,49140.0,0.0,1.7,366.4,46400.0
2024-07-17 13:40:00,60508.0,49200.0,0.0,1.5,362.1,41100.0
2024-07-17 13:41:00,60508.0,49260.0,0.0,1.3,358.4,34900.0
2024-07-17 13:42:00,60508.0,49320.0,0.0,1.5,363.3,42500.0
2024-07-17 13:43:00,60508.0,49380.0,0.0,1.4,363.9,40700.0
2024-07-17 13:44:00,60508.0,49440.0,0.0,1.3,362.3,41300.0
2024-07-17 13:45:00,60508.0,49500.0,0.0,1.4,359.1,50200.0
2024-07-17 13:46:00,60508.0,49560.0,0.0,1.3,361.9,39400.0
2024-07-17 13:47:00,60508.0,49620.0,0.0,1.0,363.4,42700.0
2024-07-17 13:48:00,60508.0,49680.0,0.0,1.4,363.3,36500.0
2024-07-17 13:49:00,60508.0,49740.0,0.0,1.1,363.6,38800.0
2024-07-17 13:50:00,60508.0,49800.0,0.0,1.3,360.3,47400.0
2024-07-17 13:51:00,60508.0,49860.0,0.0,1.4,359.1,44400.0
2024-07-17 13:52:00,60508.0,49920.0,0.0,1.3,362.2,42900.0
2024-07-17 13:53:00,60508.0,49980.0,0.0,1.3,357.3,39800.0
2024-07-17 13:54:00,60508.0,50040.0,0.0,1.5,362.1,50000.0
2024-07-17 13:55:00,60508.0,50100.0,0.0,1.6,362.6,47300.0
2024-07-17 13:56:00,60508.0,50160.0,0.0,1.6,359.8,40200.0
2024-07-17 13:57:00,60508.0,50220.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 13:58:00,60508.0,50280.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 13:59:00,60508.0,50340.0,0.0,3.3,357.7,71900.0
2024-07-17 14:00:00,60508.0,50400.0,0.0,2.5,355.0,71700.0
2024-07-17 14:01:00,60508.0,50460.0,0.0,2.6,359.1,93100.0
2024-07-17 14:02:00,60508.0,50520.0,0.0,2.6,360.1,94200.0
2024-07-17 14:03:00,60508.0,50580.0,0.0,2.5,360.5,84600.0
2024-07-17 14:04:00,60508.0,50640.0,0.0,2.2,363.1,80600.0
2024-07-17 14:05:00,60508.0,50700.0,0.0,2.5,360.4,73100.0
2024-07-17 14:06:00,60508.0,50760.0,0.0,2.6,361.3,83500.0
2024-07-17 14:07:00,60508.0,50820.0,0.0,2.5,359.9,77800.0
2024-07-17 14:08:00,60508.0,50880.0,0.0,2.2,363.3,80800.0
2024-07-17 14:09:00,60508.0,50940.0,1.0,2.3,360.5,70800.0
2024-07-17 14:10:00,60508.0,51000.0,0.0,2.5,358.1,65100.0
2024-07-17 14:11:00,60508.0,51060.0,0.0,2.5,364.2,95600.0
2024-07-17 14:12:00,60508.0,51120.0,0.0,2.3,364.7,98100.0
2024-07-17 14:13:00,60508.0,51180.0,0.0,2.2,356.2,56700.0
2024-07-17 14:14:00,60508.0,51240.0,0.0,2.5,355.7,59400.0
2024-07-17 14:15:00,60508.0,51300.0,0.0,2.9,363.6,103000.0
2024-07-17 14:16:00,60508.0,51360.0,0.0,2.8,361.3,82600.0
2024-07-17 14:17:00,60508.0,51420.0,0.0,2.5,355.0,60400.0
2024-07-17 14:18:00,60508.0,51480.0,0.0,2.8,353.7,45800.0
2024-07-17 14:19:00,60508.0,51540.0,0.0,3.0,364.3,137000.0
2024-07-17 14:20:00,60508.0,51600.0,0.0,2.8,359.3,81400.0
2024-07-17 14:21:00,60508.0,51660.0,0.0,2.5,360.0,77200.0
2024-07-17 14:22:00,60508.0,51720.0,0.0,2.7,360.3,77600.0
2024-07-17 14:23:00,60508.0,51780.0,0.0,2.7,360.6,81500.0
2024-07-17 14:24:00,60508.0,51840.0,0.0,2.7,361.5,88300.0
2024-07-17 14:25:00,60508.0,51900.0,0.0,2.5,361.8,94400.0
2024-07-17 14:26:00,60508.0,51960.0,0.0,2.8,361.4,81100.0
2024-07-17 14:27:00,60508.0,52020.0,0.0,3.0,361.7,78100.0
2024-07-17 14:28:00,60508.0,52080.0,0.0,2.9,360.3,78300.0
2024-07-17 14:29:00,60508.0,52140.0,0.0,2.8,358.7,74200.0
2024-07-17 14:30:00,60508.0,52200.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 14:31:00,60508.0,52260.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 14:32:00,60508.0,52320.0,0.0,2.8,357.8,83200.0
2024-07-17 14:33:00,60508.0,52380.0,0.0,2.4,357.6,62500.0
2024-07-17 14:34:00,60508.0,52440.0,0.0,2.7,353.1,48700.0
2024-07-17 14:35:00,60508.0,52500.0,0.0,3.4,361.4,81800.0
2024-07-17 14:36:00,60508.0,52560.0,0.0,2.9,359.5,75900.0
2024-07-17 14:37:00,60508.0,52620.0,0.0,2.7,356.8,62400.0
2024-07-17 14:38:00,60508.0,52680.0,0.0,2.4,351.2,28700.0
2024-07-17 14:39:00,60508.0,52740.0,0.0,2.4,360.0,74200.0
2024-07-17 14:40:00,60508.0,52800.0,0.0,2.8,359.9,66300.0
2024-07-17 14:41:00,60508.0,52860.0,0.0,2.9,357.6,57800.0
2024-07-17 14:42:00,60508.0,52920.0,0.0,2.7,355.2,61300.0
2024-07-17 14:43:00,60508.0,52980.0,0.0,2.6,355.7,71500.0
2024-07-17 14:44:00,60508.0,53040.0,0.0,2.6,355.5,69200.0
2024-07-17 14:45:00,60508.0,53100.0,0.0,2.5,354.7,72400.0
2024-07-17 14:46:00,60508.0,53160.0,0.0,2.4,355.2,82000.0
2024-07-17 14:47:00,60508.0,53220.0,1.0,2.2,350.7,63200.0
2024-07-17 14:48:00,60508.0,53280.0,0.0,2.2,345.5,54400.0
2024-07-17 14:49:00,60508.0,53340.0,0.0,2.7,359.3,108000.0
2024-07-17 14:50:00,60508.0,53400.0,0.0,2.5,359.2,104000.0
2024-07-17 14:51:00,60508.0,53460.0,0.0,2.4,350.9,44000.0
2024-07-17 14:52:00,60508.0,53520.0,1.0,2.0,343.9,36400.0
2024-07-17 14:53:00,60508.0,53580.0,0.0,2.7,362.1,117000.0
2024-07-17 14:54:00,60508.0,53640.0,0.0,2.5,361.4,76100.0
2024-07-17 14:55:00,60508.0,53700.0,0.0,2.7,360.4,89500.0
2024-07-17 14:56:00,60508.0,53760.0,0.0,2.7,359.1,75200.0
2024-07-17 14:57:00,60508.0,53820.0,0.0,2.7,361.2,80400.0
2024-07-17 14:58:00,60508.0,53880.0,0.0,2.7,360.1,76600.0
2024-07-17 14:59:00,60508.0,53940.0,0.0,2.4,361.5,71800.0
2024-07-17 15:00:00,60508.0,54000.0,0.0,2.5,363.4,66700.0
2024-07-17 15:01:00,60508.0,54060.0,0.0,2.4,364.8,64000.0
2024-07-17 15:02:00,60508.0,54120.0,0.0,1.8,366.7,67000.0
2024-07-17 15:03:00,60508.0,54180.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 15:04:00,60508.0,54240.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 15:05:00,60508.0,54300.0,0.0,2.1,361.3,84500.0
2024-07-17 15:06:00,60508.0,54360.0,0.0,1.8,362.7,91300.0
2024-07-17 15:07:00,60508.0,54420.0,0.0,2.0,361.4,90100.0
2024-07-17 15:08:00,60508.0,54480.0,0.0,2.0,361.7,95300.0
2024-07-17 15:09:00,60508.0,54540.0,0.0,2.2,364.3,75800.0
2024-07-17 15:10:00,60508.0,54600.0,0.0,1.7,364.8,81600.0
2024-07-17 15:11:00,60508.0,54660.0,0.0,1.6,356.0,44300.0
2024-07-17 15:12:00,60508.0,54720.0,0.0,2.0,365.5,94800.0
2024-07-17 15:13:00,60508.0,54780.0,0.0,2.3,370.5,117000.0
2024-07-17 15:14:00,60508.0,54840.0,0.0,2.0,366.4,97300.0
2024-07-17 15:15:00,60508.0,54900.0,0.0,1.6,357.9,59800.0
2024-07-17 15:16:00,60508.0,54960.0,0.0,1.9,362.1,81200.0
2024-07-17 15:17:00,60508.0,55020.0,0.0,2.4,368.8,117000.0
2024-07-17 15:18:00,60508.0,55080.0,0.0,2.2,365.5,101000.0
2024-07-17 15:19:00,60508.0,55140.0,0.0,1.8,363.2,74100.0
2024-07-17 15:20:00,60508.0,55200.0,0.0,2.1,360.8,54200.0
2024-07-17 15:21:00,60508.0,55260.0,1.0,2.4,361.5,72700.0
2024-07-17 15:22:00,60508.0,55320.0,0.0,2.5,363.1,76100.0
2024-07-17 15:23:00,60508.0,55380.0,0.0,2.4,365.0,71200.0
2024-07-17 15:24:00,60508.0,55440.0,1.0,2.4,359.8,65300.0
2024-07-17 15:25:00,60508.0,55500.0,0.0,2.3,363.6,72400.0
2024-07-17 15:26:00,60508.0,55560.0,0.0,2.5,367.8,93900.0
2024-07-17 15:27:00,60508.0,55620.0,0.0,2.3,364.6,69700.0
2024-07-17 15:28:00,60508.0,55680.0,0.0,2.4,364.9,82300.0
2024-07-17 15:29:00,60508.0,55740.0,0.0,2.4,363.4,73500.0
2024-07-17 15:30:00,60508.0,55800.0,0.0,2.4,362.6,67500.0
2024-07-17 15:31:00,60508.0,55860.0,9.0,-9999.9,-9999.9,-100000.0
2024-07-17 15:32:00,60508.0,55920.0,0.0,2.4,363.6,79200.0
